标题,品牌,车型,款式,车年份,购车时间,售价,首付,里程,城市
别克君越 2019款 28T 豪华版,别克,别克君越,豪华版,2019,2019,11.2,2.24万,8.98万公里,南阳
日产奇骏 2020款 2.0L CVT 两驱 智联舒适版 5座,日产,日产奇骏,5座,2020,2021,11.5111,2.30万,4.39万公里,保定
荣威RX3 2018款 1.6L 手动 精英版,荣威,荣威RX3,精英版,2018,2018,3.1,0.62万,2.24万公里,济宁
日产奇骏 2020款 2.0L CVT 两驱 智联舒适版 5座,日产,日产奇骏,5座,2020,2021,11.5111,2.30万,4.39万公里,保定
荣威RX3 2018款 1.6L 手动 精英版,荣威,荣威RX3,精英版,2018,2018,3.1,0.62万,2.24万公里,济宁
马自达3 昂克赛拉 2021款 2.0L 自动质擎版,马自达,马自达3,自动质擎版,2021,2022,8.1,1.62万,2.67万公里,济南
坦克300 2021款 城市版 2.0T 很有型,坦克,坦克300,很有型,2021,2022,17.8,3.56万,3.26万公里,保定
铃木雨燕 2015款 1.5L 手动 限定版,铃木,铃木雨燕,限定版,2015,2016,2.76,0.55万,7.27万公里,济宁
别克GL6 2018款 18T 尊贵版 6座,别克,别克GL6,6座,2018,2017,5.89,1.18万,6.78万公里,济南
现代悦动 2020款 1.6L 手自一体 悦目版,现代,现代悦动,悦目版,2020,2020,5.18,1.04万,3.62万公里,沈阳
别克GL6 2021款 轻混 323T 互联豪华型,别克,别克GL6,323T,2021,2021,7.9,1.58万,2.44万公里,惠州
哈弗H2 2017款 红标 1.5T 手自一体 两驱 精英版,哈弗,哈弗H2,精英版,2017,2016,3.2,0.64万,9.99万公里,佛山
本田CR-V 2023款 240TURBO 两驱锋尚版 5座,本田,本田CR-V,5座,2023,2023,17.6,3.52万,1.61万公里,临沂
别克英朗 2021款 典范 1.5L 手自一体 精英型,别克,别克英朗,手自一体,2021,2021,5.78,1.16万,3.82万公里,临沂
比亚迪唐新能源 2021款 DM-i 1.5T 112KM 前驱尊荣型,比亚迪,比亚迪唐新能源,112KM,2021,2021,14.3,2.86万,5.55万公里,南宁
现代ix25 2020款 1.5L CVT 智能型,现代,现代ix25,CVT,2020,2020,6.17,1.23万,3.43万公里,临沂
大众高尔夫·嘉旅 2016款 280TSI 双离合 豪华版,大众,大众高尔夫·嘉旅,豪华版,2016,2017,6.8,1.36万,4.88万公里,苏州
名爵MG5 2021款 180DVVT CVT青春豪华版,名爵,名爵MG5,CVT青春豪华版,2021,2022,5.42,1.08万,2.01万公里,临沂
荣威RX3 2018款 1.6L CVT 旗舰版,荣威,荣威RX3,旗舰版,2018,2019,4.51,0.90万,6.57万公里,许昌
本田凌派 2016款 1.8L CVT 舒适版,本田,本田凌派,舒适版,2016,2018,6.48,1.30万,3.70万公里,苏州
比亚迪唐新能源 2018款 DM 2.0TI 双离合 四驱 智联创享版 7座 国V,比亚迪,比亚迪唐新能源,国V,2018,2019,9.0,1.80万,12.63万公里,上海
长安欧尚奔奔E-Star 2021款 国民版 多彩款 磷酸铁锂 31.95kWh,长安欧尚,长安欧尚奔奔E-Star,31.95kWh,2021,2022,5.098,1.02万,2.73万公里,柳州
长安欧尚X7 PLUS 2022款 蓝鲸版 1.5T 双离合Geeker 领航型 5座,长安欧尚,长安欧尚X7,5座,2022,2021,7.6,1.52万,2.25万公里,临沂
雪佛兰科鲁泽 2019款 Redline 320T 双离合 欢快版,雪佛兰,雪佛兰科鲁泽,欢快版,2019,2019,3.88,0.78万,4.78万公里,烟台
上汽大通MAXUS大通G50 2020款 1.5TGI 双离合 精英版 7座 国VI,上汽大通MAXUS,上汽大通MAXUS大通G50,国VI,2020,2021,7.24,1.45万,3.55万公里,临沂
荣威科莱威CLEVER 2022款 311km 元气啵啵版,荣威,荣威科莱威CLEVER,元气啵啵版,2022,2023,3.98,0.80万,0.33万公里,苏州
大众朗逸 2021款 1.5L 手自一体 视野版,大众,大众朗逸,视野版,2021,2021,7.5,1.50万,1.94万公里,沈阳
现代ix35 2021款 2.0L 自动 两驱 领先版GLS,现代,现代ix35,领先版GLS,2021,2021,8.59,1.72万,3.39万公里,临沂
本田艾力绅 2016款 2.4L CVT 风尚版,本田,本田艾力绅,风尚版,2016,2017,14.4,2.88万,9.79万公里,商丘
广汽传祺传祺GS5 2019款 270T 手自一体 精英版,广汽传祺,广汽传祺传祺GS5,精英版,2019,2019,6.684,1.34万,6.70万公里,许昌
广汽传祺影酷 2022款 1.5T 双离合超新星Max版,广汽传祺,广汽传祺影酷,双离合超新星Max版,2022,2022,9.88,1.98万,1.57万公里,南京
宝马5系 2021款 改款 530Li 领先型 M运动套装,宝马,宝马5系,领先型,2021,2021,30.86,6.17万,5.89万公里,烟台
长城炮 2019款 2.0T 手自一体 四驱 尊享型,长城,长城炮,四驱,2019,2020,9.5,1.90万,5.75万公里,许昌
现代ix25 2017款 1.6L 手自一体 智能版 国V,现代,现代ix25,国V,2017,2019,6.88,1.38万,6.16万公里,许昌
奥迪A4L 2020款 40 TFSI 时尚动感型,奥迪,奥迪A4L,TFSI,2020,2021,20.052,4.01万,4.42万公里,许昌
宝骏510 2017款 1.5L 手动 豪华版,宝骏,宝骏510,豪华版,2017,2017,2.85,0.57万,5.90万公里,太原
标致207 2011款 两厢 1.4L 手动 驭乐版,标致,标致207,驭乐版,2011,2013,0.9,0.18万,7.15万公里,沈阳
丰田卡罗拉 2021款 双擎 1.8L E-CVT 精英版,丰田,丰田卡罗拉,精英版,2021,2022,8.9,1.78万,6.72万公里,烟台
大众桑塔纳 2019款 1.5L 手动 风尚版 国VI,大众,大众桑塔纳,国VI,2019,2020,4.62,0.92万,1.13万公里,许昌
现代ix25 2017款 1.6L 手自一体 智能版 国V,现代,现代ix25,国V,2017,2019,6.9,1.38万,4.62万公里,许昌
广汽传祺影豹 2022款 270T 双离合J16 R-style赛道版,广汽传祺,广汽传祺影豹,R-style赛道版,2022,2022,9.88,1.98万,1.33万公里,柳州
日产劲客 2018款 1.5L CVT 智联尊享版 国V,日产,日产劲客,国V,2018,2018,6.1,1.22万,5.54万公里,沈阳
日产逍客 2021款 2.0L CVT 豪华版,日产,日产逍客,豪华版,2021,2021,10.14,2.03万,0.75万公里,许昌
吉利汽车吉利星越L 2021款 2.0T 双离合两驱尊贵型,吉利汽车,吉利汽车吉利星越L,2.0T,2021,2022,12.5,2.50万,1.08万公里,临沂
比亚迪S6 2014款 2.0L 手动 豪华版 5座,比亚迪,比亚迪S6,5座,2014,2014,1.08,0.22万,7.98万公里,淄博
丰田RAV4荣放 2021款 2.0L CVT 两驱 风尚版,丰田,丰田RAV4荣放,风尚版,2021,2021,14.26,2.85万,2.10万公里,大连
哈弗H6 2018款 红标 运动版 1.5T 双离合 精英版,哈弗,哈弗H6,精英版,2018,2017,4.98,1.00万,3.32万公里,郑州
别克君威 2020款 552T 精英型,别克,别克君威,552T,2020,2021,10.0,2.00万,5.56万公里,许昌
宝马3系 2019款 320i 2.0T 手自一体 M运动套装,宝马,宝马3系,手自一体,2019,2019,15.54,3.11万,7.41万公里,许昌
理想汽车理想L8 2023款 L8 Max,理想汽车,理想汽车理想L8,L8,2023,2023,30.6,6.12万,1.19万公里,福州
广汽传祺传祺M6 2021款 Pro 270T 双离合豪华版 7座,广汽传祺,广汽传祺传祺M6,7座,2021,2021,9.56,1.91万,4.50万公里,临沂
雪佛兰沃兰多 2020款 轻混 Redline 530T 自动纵享版 7座,雪佛兰,雪佛兰沃兰多,7座,2020,2023,9.56,1.91万,0.02万公里,许昌
长安逸动 2021款 PLUS 蓝鲸NE 1.4T GDI 双离合 尊贵版,长安,长安逸动,尊贵版,2021,2021,5.7,1.14万,2.29万公里,许昌
哈弗神兽 2022款 1.5T 两驱智享版,哈弗,哈弗神兽,两驱智享版,2022,2022,9.28,1.86万,3.44万公里,郑州
雪佛兰科鲁泽 2023款 1.5L 双离合乐享版,雪佛兰,雪佛兰科鲁泽,双离合乐享版,2023,2023,6.576,1.32万,1.93万公里,许昌
红旗HS5 2019款 2.0T 手自一体 四驱 智联旗享版,红旗,红旗HS5,智联旗享版,2019,2020,11.0,2.20万,4.66万公里,南宁
大众速腾 2019款 200TSI 双离合 舒适型 国V,大众,大众速腾,舒适型,2019,2019,7.88,1.58万,5.26万公里,烟台
凯迪拉克XT5 2020款 改款 28T 两驱 豪华型,凯迪拉克,凯迪拉克XT5,两驱,2020,2020,18.45,3.69万,5.17万公里,许昌
大众探歌 2021款 280TSI 双离合 两驱 精英智联版,大众,大众探歌,精英智联版,2021,2021,9.5,1.90万,6.25万公里,临沂
吉利汽车吉利缤瑞 2021款 1.4T CVT 亚运版,吉利汽车,吉利汽车吉利缤瑞,亚运版,2021,2021,5.95,1.19万,0.29万公里,许昌
海马福美来F5 2014款 M5 1.6L 手动 精英型,海马,海马福美来F5,手动,2014,2014,0.96,0.19万,8.46万公里,福州
小鹏P7 2023款 P7i 702 后驱Max,小鹏,小鹏P7,702,2023,2023,20.58,4.12万,0.37万公里,临沂
吉利汽车吉利博越 2018款 1.8TD 手自一体 两驱 智联型4G互联版,吉利汽车,吉利汽车吉利博越,智联型4G互联版,2018,2019,4.9,0.98万,4.70万公里,许昌
小鹏P7 2023款 P7i 702 后驱Max,小鹏,小鹏P7,702,2023,2023,20.58,4.12万,0.37万公里,临沂
吉利汽车吉利博越 2018款 1.8TD 手自一体 两驱 智联型4G互联版,吉利汽车,吉利汽车吉利博越,智联型4G互联版,2018,2019,4.9,0.98万,4.70万公里,许昌
本田XR-V 2020款 220TURBO CVT 舒适版,本田,本田XR-V,舒适版,2020,2020,7.98,1.60万,6.76万公里,临沂
吉利汽车吉利星越L 2022款 雷神Hi·F 1.5T Super迅,吉利汽车,吉利汽车吉利星越L,1.5T,2022,2022,14.0,2.80万,2.75万公里,许昌
奥迪A4L 2018款 30周年版 30 TFSI 进取版,奥迪,奥迪A4L,进取版,2018,2019,14.0,2.80万,6.19万公里,许昌
雪佛兰科鲁泽 2023款 轻混 1.3T 自动尊享版,雪佛兰,雪佛兰科鲁泽,自动尊享版,2023,2022,6.5,1.30万,0.99万公里,许昌
大众探岳 2021款 280TSI 两驱 舒适智联版,大众,大众探岳,舒适智联版,2021,2022,12.5,2.50万,2.32万公里,许昌
大众凌渡 2021款 230TSI 双离合 风尚版,大众,大众凌渡,风尚版,2021,2022,9.18,1.84万,5.94万公里,许昌
雪佛兰沃兰多 2020款 轻混 530T 自动劲享版 7座,雪佛兰,雪佛兰沃兰多,7座,2020,2021,6.88,1.38万,1.53万公里,许昌
长安CS75 2018款 280T 手动 两驱 精智型 国V,长安,长安CS75,精智型,2018,2019,5.0,1.00万,4.08万公里,许昌
吉利汽车吉利远景X6 2020款 1.4T CVT 亚运版,吉利汽车,吉利汽车吉利远景X6,亚运版,2020,2021,6.0,1.20万,4.97万公里,许昌
日产骐达 2021款 1.6L CVT智行版,日产,日产骐达,CVT智行版,2021,2020,6.8,1.36万,2.85万公里,济南
本田型格 2023款 e:HEV 2.0L 锐·尊享版,本田,本田型格,锐·尊享版,2023,2023,13.98,2.80万,0.05万公里,湖州
名爵ZS 2020款 180DVVT CVT Lite,名爵,名爵ZS,CVT,2020,2022,5.98,1.20万,3.65万公里,济宁
长安CS55PLUS 2021款 蓝鲸版 1.5T 双离合 尊贵型,长安,长安CS55PLUS,尊贵型,2021,2021,7.58,1.52万,2.69万公里,南昌
本田缤智 2020款 1.5L CVT 豪华版,本田,本田缤智,豪华版,2020,2022,10.24,2.05万,0.04万公里,湖州
荣威科莱威CLEVER 2021款 302km 卓越版,荣威,荣威科莱威CLEVER,卓越版,2021,2021,2.76,0.55万,2.46万公里,南昌
吉利汽车吉利远景X6 2020款 1.4T 手动 尊贵型,吉利汽车,吉利汽车吉利远景X6,手动,2020,2021,5.18,1.04万,4.48万公里,包头
本田CR-V 2021款 240TURBO CVT 两驱 都市版,本田,本田CR-V,都市版,2021,2020,13.1,2.62万,3.05万公里,北京
别克GL6 2019款 18T 精英版 5座 国V,别克,别克GL6,国V,2019,2018,6.18,1.24万,3.59万公里,南京
比亚迪F0 2015款 1.0L 手自一体 铉酷版,比亚迪,比亚迪F0,铉酷版,2015,2018,2.16,0.43万,5.49万公里,银川
日产奇骏 2017款 2.0L CVT 两驱 舒适版 5座,日产,日产奇骏,5座,2017,2018,8.98,1.80万,4.76万公里,潍坊
荣威i6 2020款 PLUS 1.6L CVT 4G互联荣耀全息版 国VI,荣威,荣威i6,国VI,2020,2020,4.5,0.90万,4.28万公里,郑州
奇瑞新能源QQ冰淇淋 2022款 170km 圣代款,奇瑞新能源,奇瑞新能源QQ冰淇淋,170km,2022,2022,2.64,0.53万,1.67万公里,佛山
哈弗大狗 2022款 1.5T 两驱边牧版,哈弗,哈弗大狗,两驱边牧版,2022,2023,10.77,2.15万,0.82万公里,昆明
江汽集团瑞风S3 2014款 1.5L 6MT 豪华智能型,江汽集团,江汽集团瑞风S3,6MT,2014,2015,1.98,0.40万,8.46万公里,合肥
哈弗H6 2017款 红标 运动版 1.5T 手自一体 两驱 豪华版 汽油,哈弗,哈弗H6,汽油,2017,2016,3.84,0.77万,8.01万公里,烟台
雪佛兰科鲁兹 2017款 三厢 1.5L 手自一体 先锋天窗版,雪佛兰,雪佛兰科鲁兹,先锋天窗版,2017,2017,3.7,0.74万,6.74万公里,保定
大众宝来 2019款 1.5L 手自一体 舒适版,大众,大众宝来,舒适版,2019,2018,6.3,1.26万,3.51万公里,保定
理想汽车理想L8 2023款 L8 Pro,理想汽车,理想汽车理想L8,L8,2023,2023,29.85,5.97万,0.32万公里,乌鲁木齐
别克英朗 2018款 15T 双离合 精英版 国V,别克,别克英朗,国V,2018,2018,4.38,0.88万,3.74万公里,南京
大众帕萨特 2016款 280TSI DSG尊荣版,大众,大众帕萨特,DSG尊荣版,2016,2016,7.1,1.42万,7.04万公里,烟台
丰田雷凌 2022款 双擎 1.8L 豪华版,丰田,丰田雷凌,豪华版,2022,2022,8.5,1.70万,4.46万公里,郑州
领克03 2021款 03+ 2.0TD 手自一体 驭风版,领克,领克03,驭风版,2021,2021,13.78,2.76万,2.17万公里,厦门
本田思铂睿 2015款 2.4L 尊耀版,本田,本田思铂睿,尊耀版,2015,2017,11.29,2.06万,7.61万公里,商丘
大众速腾 2019款 200TSI 双离合 舒适型 国VI,大众,大众速腾,舒适型,2019,2020,8.49,1.70万,3.87万公里,西安
本田英仕派 2019款 260TURBO CVT 精致版 国VI,本田,本田英仕派,国VI,2019,2020,12.46,2.49万,4.32万公里,赣州
比亚迪海豚 2021款 401km 骑士版,比亚迪,比亚迪海豚,骑士版,2021,2022,8.7,1.74万,2.25万公里,南京
宝马3系 2017款 320Li 2.0T 手自一体 时尚版,宝马,宝马3系,时尚版,2017,2017,12.56,2.51万,7.87万公里,西安
本田雅阁 2016款 2.0L CVT 精英版,本田,本田雅阁,精英版,2016,2016,8.5,1.70万,5.52万公里,赣州
宝马3系 2017款 320Li 2.0T 手自一体 时尚版,宝马,宝马3系,时尚版,2017,2017,12.56,2.51万,7.87万公里,西安
本田雅阁 2016款 2.0L CVT 精英版,本田,本田雅阁,精英版,2016,2016,8.5,1.70万,5.52万公里,赣州
理想汽车理想L9 2022款 L9 Max,理想汽车,理想汽车理想L9,L9,2022,2022,34.8,6.96万,4.12万公里,西安
北京汽车北京绅宝D70 2018款 性能版 1.8T 手自一体 舒适版,北京汽车,北京汽车北京绅宝D70,舒适版,2018,2019,3.88,0.78万,5.73万公里,包头
奔腾T77 2021款 PRO 280TID 双离合定制型,奔腾,奔腾T77,280TID,2021,2021,6.43,1.29万,4.32万公里,济宁
现代伊兰特 2023款 1.5L CVT尊贵版,现代,现代伊兰特,CVT尊贵版,2023,2023,8.88,1.78万,1.35万公里,广州
本田皓影 2020款 240TURBO CVT 两驱 精英版,本田,本田皓影,精英版,2020,2020,12.68,2.54万,7.80万公里,乌鲁木齐
别克昂科拉 2020款 20T CVT 豪华型,别克,别克昂科拉,CVT,2020,2022,8.2,1.64万,1.56万公里,济宁
路虎揽胜极光 2021款 极光L 249PS R-Dynamic First edition 首发版,路虎,路虎揽胜极光,首发版,2021,2022,24.8,4.96万,1.03万公里,沈阳
长安CS75PLUS 2022款 第二代 1.5T 尊贵型,长安,长安CS75PLUS,1.5T,2022,2023,10.88,2.18万,2.03万公里,大同
星途追风 2022款 乘风破浪版 1.5T CVT好事花生版,星途,星途追风,CVT好事花生版,2022,2023,7.4,1.48万,1.20万公里,济宁
大众途岳 2021款 280TSI 双离合 两驱 豪华版plus,大众,大众途岳,豪华版plus,2021,2021,12.0,2.40万,3.65万公里,北京
吉利几何E萤火虫 2022款 401km 玲珑虎 4座,吉利几何,吉利几何E萤火虫,玲珑虎,2022,2022,5.85,1.17万,3.31万公里,济宁
大众探岳 2020款 330TSI 双离合 两驱 豪华智联版,大众,大众探岳,豪华智联版,2020,2020,12.88,2.58万,4.42万公里,郑州
本田杰德 2017款 1.8L 自动 舒适版 5座,本田,本田杰德,5座,2017,2019,9.18,1.84万,6.14万公里,惠州
大众高尔夫 2017款 230TSI 双离合 豪华百万辆纪念版,大众,大众高尔夫,豪华百万辆纪念版,2017,2017,7.76,1.55万,7.33万公里,郑州
大众宝来 2018款 1.5L 手自一体 舒适版,大众,大众宝来,舒适版,2018,2018,6.0,1.20万,4.91万公里,银川
红旗H5经典 2020款 1.8T 手自一体 智联旗韵版,红旗,红旗H5经典,智联旗韵版,2020,2020,7.78,1.56万,4.97万公里,南京
奔驰C级 2021款 C 200 L 时尚型运动版,奔驰,奔驰C级,时尚型运动版,2021,2020,20.08,3.98万,5.51万公里,合肥
长安凯程长安之星5 2022款 1.4L 客车经典版 5座,长安凯程,长安凯程长安之星5,5座,2022,2023,3.0,0.60万,1.60万公里,重庆
福特锐界 2016款 EcoBoost 245 两驱 豪锐版,福特,福特锐界,豪锐版,2016,2016,11.76,2.14万,5.90万公里,合肥
凯迪拉克XT4 2018款 28T 两驱 领先版,凯迪拉克,凯迪拉克XT4,领先版,2018,2019,13.9,2.78万,3.70万公里,银川
东风风神奕炫MAX 2021款 1.5T 超炫潮爸版,东风风神,东风风神奕炫MAX,超炫潮爸版,2021,2021,5.6,1.12万,2.37万公里,襄阳
大众高尔夫 2014款 1.4TSI 自动舒适型,大众,大众高尔夫,1.4TSI,2014,2014,5.38,1.08万,8.48万公里,兰州
鸿蒙智行问界M5 2022款 增程版 180km 四驱至臻版,鸿蒙智行,鸿蒙智行问界M5,四驱至臻版,2022,2022,18.2,3.64万,0.29万公里,重庆
现代伊兰特 2022款 1.5L CVT旗舰版,现代,现代伊兰特,CVT旗舰版,2022,2023,8.3,1.66万,2.21万公里,重庆
长安CS75 2017款 尚酷版 1.5T 手动 锋享版,长安,长安CS75,锋享版,2017,2018,3.8,0.76万,5.16万公里,重庆
海马S5 2017款 强动力版 1.6L 手动 经典版,海马,海马S5,经典版,2017,2016,1.75,0.35万,7.63万公里,襄阳
别克君越 2023款 28T 越享版,别克,别克君越,越享版,2023,2024,15.5,3.10万,0.19万公里,包头
大众Polo 2016款 Cross 1.4L 自动,大众,大众Polo,1.4L,2016,2017,4.9,0.98万,3.75万公里,许昌
现代索纳塔 2015款 1.6T 自动 GLX 领先型,现代,现代索纳塔,GLX,2015,2015,6.084,1.22万,8.11万公里,郑州
日产轩逸 2022款 经典 1.6L XE舒适版,日产,日产轩逸,XE舒适版,2022,2022,6.68,1.34万,2.67万公里,临沂
长安欧尚X7 2021款 1.5T 双离合 尊享型,长安欧尚,长安欧尚X7,双离合,2021,2021,6.0,1.20万,2.58万公里,襄阳
马自达CX-30 2020款 2.0L 手自一体 嘉悦型,马自达,马自达CX-30,手自一体,2020,2020,8.1,1.62万,2.50万公里,南宁
本田杰德 2020款 1.8L 自动 舒适版 5座,本田,本田杰德,5座,2020,2019,8.88,1.78万,7.69万公里,大同
大众宝来 2021款 1.5L 自动时尚智联版,大众,大众宝来,自动时尚智联版,2021,2023,8.18,1.64万,0.60万公里,临沂
日产逍客 2017款 2.0L CVT 豪华版 国V,日产,日产逍客,国V,2017,2018,8.1,1.62万,5.46万公里,乌鲁木齐
吉利汽车吉利星瑞 2021款 2.0TD 尊贵型,吉利汽车,吉利汽车吉利星瑞,2.0TD,2021,2022,8.9,1.78万,4.06万公里,临沂
吉利汽车吉利星越L 2021款 2.0T 双离合两驱尊贵型,吉利汽车,吉利汽车吉利星越L,2.0T,2021,2022,12.12,2.42万,4.11万公里,临沂
大众Polo 2014款 1.6L 自动30周年纪念版,大众,大众Polo,自动30周年纪念版,2014,2015,4.78,0.96万,6.90万公里,绍兴
凯迪拉克XT5 2018款 28T 四驱 豪华型,凯迪拉克,凯迪拉克XT5,四驱,2018,2018,15.28,3.06万,8.86万公里,南京
奔驰GLB 2020款 GLB 200 动感型,奔驰,奔驰GLB,200,2020,2020,19.0,3.80万,2.45万公里,南京
丰田威驰 2022款 1.5L CVT20周年纪念版,丰田,丰田威驰,CVT20周年纪念版,2022,2022,6.5,1.30万,1.71万公里,长春
比亚迪F3 2020款 1.5L 手动 豪华型,比亚迪,比亚迪F3,手动,2020,2021,3.78,0.76万,0.89万公里,郑州
大众揽境 2022款 380TSI 四驱旗舰胜境版 6座,大众,大众揽境,6座,2022,2023,26.6,5.32万,3.10万公里,北京
奇瑞瑞虎8 2021款 鲲鹏版 390TGDI 双离合逐风版,奇瑞,奇瑞瑞虎8,双离合逐风版,2021,2021,8.5,1.70万,1.50万公里,合肥
雪佛兰迈锐宝 2018款 530T 豪华版,雪佛兰,雪佛兰迈锐宝,豪华版,2018,2018,6.3,1.26万,4.56万公里,合肥
雪佛兰科鲁兹 2013款 1.8L SX AT,雪佛兰,雪佛兰科鲁兹,SX,2013,2014,2.28,0.46万,6.79万公里,合肥
现代胜达 2023款 旅行家 380T 两驱尊贵版,现代,现代胜达,两驱尊贵版,2023,2023,18.0,3.60万,0.46万公里,呼和浩特
奔驰E级 2016款 E 300 L 豪华版,奔驰,奔驰E级,豪华版,2016,2016,23.9,4.78万,15.59万公里,洛阳
别克英朗 2017款 15N 手自一体 精英版,别克,别克英朗,精英版,2017,2016,3.5,0.70万,14.40万公里,上海
吉利汽车吉利帝豪 2018款 1.5L 手动 豪华版,吉利汽车,吉利汽车吉利帝豪,豪华版,2018,2018,2.7,0.54万,2.25万公里,中山
凯迪拉克XT5 2020款 28T 两驱 豪华型,凯迪拉克,凯迪拉克XT5,两驱,2020,2020,17.6,3.52万,5.30万公里,南昌
欧拉黑猫 2022款 301km 萌宠版 磷酸铁锂,欧拉,欧拉黑猫,磷酸铁锂,2022,2021,4.536,0.91万,4.58万公里,南宁
本田杰德 2014款 1.8L 5AT 舒适精英型（五座）,本田,本田杰德,5AT,2014,2015,5.6,1.12万,11.82万公里,北京
日产骊威 2013款 1.6XE 手动 舒适版,日产,日产骊威,舒适版,2013,2014,2.6,0.52万,5.80万公里,北京
宝骏510 2017款 1.5L AMT 豪华版,宝骏,宝骏510,豪华版,2017,2018,3.492,0.70万,5.64万公里,南宁
特斯拉Model Y 2021款 长续航全轮驱动版 3D3/3D7,特斯拉,特斯拉Model,3D3/3D7,2021,2021,19.9,3.98万,3.44万公里,北京
本田CR-V e:PHEV 2021款 2.0L 睿驰版,本田,本田CR-V,睿驰版,2021,2021,16.8,3.36万,2.10万公里,包头
领克03 2021款 2.0TD 手自一体 劲 冠军版,领克,领克03,冠军版,2021,2020,9.9999,2.00万,5.65万公里,兰州
斯巴鲁森林人 2014款 2.5i 精英版,斯巴鲁,斯巴鲁森林人,精英版,2014,2014,7.8,1.56万,9.80万公里,西宁
别克英朗 2021款 改款 轻混 1.3T 自动精英型,别克,别克英朗,1.3T,2021,2021,6.28,1.26万,4.52万公里,南京
大众凌渡 2019款 230TSI 双离合 视野版 国V,大众,大众凌渡,国V,2019,2019,7.2,1.44万,1.57万公里,郑州
比亚迪L3 2012款 1.5L 手动 舒适型,比亚迪,比亚迪L3,手动,2012,2012,0.6,0.12万,9.27万公里,临沂
五菱汽车五菱宏光MINIEV 2021款 马卡龙时尚款 120KM 磷酸铁锂,五菱汽车,五菱汽车五菱宏光MINIEV,120KM,2021,2022,2.88,0.58万,0.82万公里,东莞
宝马1系(进口) 2013款 改款 116i 1.6T 手自一体 领先型,宝马,宝马1系(进口),手自一体,2013,2015,5.78,1.16万,9.49万公里,成都
长安逸动 2020款 PLUS 1.6L GDI 手动 豪华型,长安,长安逸动,手动,2020,2020,4.2,0.84万,3.15万公里,唐山
欧拉好猫 2021款 501km 长续航 波塞冬版 三元锂,欧拉,欧拉好猫,三元锂,2021,2021,8.9888,1.80万,3.43万公里,沧州
本田思域 2022款 240TURBO CVT劲动版,本田,本田思域,CVT劲动版,2022,2022,10.0,2.00万,3.26万公里,南京
比亚迪唐 2018款 2.0TI 手自一体 智联尊荣版 7座 国V,比亚迪,比亚迪唐,国V,2018,2019,7.788,1.56万,3.48万公里,南阳
吉利汽车吉利远景X3 2017款 1.5L 手动 进取版,吉利汽车,吉利汽车吉利远景X3,进取版,2017,2018,2.4,0.48万,4.25万公里,上海
日产途达 2020款 2.5L 手自一体 四驱 豪华版,日产,日产途达,豪华版,2020,2021,15.4,3.08万,2.34万公里,长春
东风风光风光580 2022款 1.5T 自动豪华型,东风风光,东风风光风光580,1.5T,2022,2022,6.4,1.28万,1.13万公里,上海
现代索纳塔 2018款 1.6T 双离合 智能版,现代,现代索纳塔,智能版,2018,2018,6.5,1.30万,7.72万公里,上海
宝马5系 2020款 530Li 领先型 豪华套装,宝马,宝马5系,领先型,2020,2020,30.2,6.04万,3.32万公里,北京
丰田普拉多 2016款 2.7L 手自一体 标准版,丰田,丰田普拉多,标准版,2016,2017,26.4,5.28万,7.17万公里,绍兴
领克06 2023款 Remix 1.5T 劲Pro,领克,领克06,1.5T,2023,2022,8.8,1.76万,2.47万公里,银川
日产奇骏 2022款 荣耀 2.0L 两驱智联舒享版 5座,日产,日产奇骏,5座,2022,2023,13.4,2.68万,0.69万公里,长春
长安UNI-V 2022款 1.5T 双离合运动版,长安,长安UNI-V,双离合运动版,2022,2023,9.339,1.87万,1.54万公里,中山
马自达3 昂克赛拉 2019款 云控版 三厢 2.0L 手自一体 尊贵型 国VI,马自达,马自达3,国VI,2019,2019,7.8,1.56万,5.09万公里,郑州
领克02 2018款 1.5TD 双离合 两驱 劲Pro 国V,领克,领克02,劲Pro,2018,2018,6.28,1.26万,7.35万公里,郑州
本田思域 2019款 220TURBO CVT 燃动版 国V,本田,本田思域,国V,2019,2019,8.76,1.75万,4.36万公里,昆明
魏牌VV7 2021款 2.0T 科技版,魏牌,魏牌VV7,科技版,2021,2021,11.2,2.24万,2.89万公里,乌鲁木齐
丰田卡罗拉 2018款 1.2T CVT GL 智享版 国V,丰田,丰田卡罗拉,国V,2018,2019,6.7,1.34万,3.49万公里,赣州
奥迪Q2L 2022款 35 TFSI 时尚动感型,奥迪,奥迪Q2L,TFSI,2022,2022,14.2,2.84万,1.33万公里,沧州
大众速腾 2015款 1.4T 双离合 230TSI 舒适型,大众,大众速腾,230TSI,2015,2015,5.5,1.10万,4.63万公里,包头
福特福克斯 2018款 两厢经典 EcoBoost180 手自一体 精英版,福特,福特福克斯,精英版,2018,2018,5.58,1.12万,6.58万公里,郑州
五菱汽车五菱宏光MINIEV 2020款 自在款 三元锂,五菱汽车,五菱汽车五菱宏光MINIEV,自在款,2020,2021,2.16,0.43万,2.08万公里,淄博
吉利汽车吉利博越 2020款 1.8TD 双离合 智慧PRO,吉利汽车,吉利汽车吉利博越,双离合,2020,2020,6.9,1.38万,6.75万公里,西安
零跑汽车零跑T03 2021款 400 轻享版 三元锂,零跑汽车,零跑汽车零跑T03,三元锂,2021,2022,4.8,0.96万,2.19万公里,太原
